Date, Open, High, Low, Close, Volume
10/18/19, 96.05, 96.0999, 94.05, 95.13, 3151465
10/17/19, 96.71, 98.00, 96.52, 96.76, 2427362
10/16/19, 94.41, 96.36, 94.40, 96.22, 2994892
10/15/19, 94.14, 95.2842, 93.2201, 95.15, 2185533
10/14/19, 94.00, 94.66, 92.71, 93.88, 2380334
10/11/19, 93.93, 95.87, 93.746, 94.19, 3141292
10/10/19, 92.66, 93.56, 92.21, 92.53, 2057035
10/09/19, 93.02, 94.50, 92.80, 92.88, 1587593
10/08/19, 93.03, 93.83, 92.16, 92.54, 2964035
10/07/19, 95.12, 95.815, 93.32, 93.57, 2954624
10/04/19, 94.34, 95.77, 94.34, 95.61, 2246287
10/03/19, 93.53, 95.03, 92.88, 94.34, 3926918
10/02/19, 96.00, 96.00, 92.44, 94.25, 4116515
10/01/19, 97.81, 98.00, 95.13, 96.75, 3732175
09/30/19, 95.85, 97.99, 95.6849, 97.82, 2548273
09/27/19, 97.02, 97.75, 95.05, 95.67, 1968060
09/26/19, 97.61, 97.97, 95.66, 96.62, 1965499
09/25/19, 97.10, 97.82, 95.83, 97.63, 1983252
09/24/19, 98.08, 98.38, 96.725, 97.36, 2869115
09/23/19, 98.23, 99.41, 97.86, 98.18, 2084530
09/20/19, 100.20, 100.515, 98.27, 98.70, 3540806
09/19/19, 98.28, 99.90, 98.28, 99.69, 2691393
09/18/19, 97.73, 98.34, 96.53, 98.28, 1822382
09/17/19, 99.48, 99.55, 97.54, 98.42, 1817654
09/16/19, 98.03, 99.24, 97.52, 99.12, 1820439
09/13/19, 98.57, 99.35, 98.16, 98.48, 1719377
09/12/19, 99.89, 101.78, 98.052, 98.34, 4123008
09/11/19, 100.03, 100.65, 98.76, 99.11, 2409250
09/10/19, 98.45, 101.23, 97.77, 99.50, 4010541
09/09/19, 99.01, 99.88, 97.44, 98.68, 3116060
09/06/19, 98.03, 99.82, 97.65, 98.53, 2885966
09/05/19, 98.70, 99.48, 96.56, 97.45, 3020383
09/04/19, 95.24, 98.12, 94.76, 97.95, 3436686
09/03/19, 92.73, 95.165, 92.65, 94.83, 3263426
08/30/19, 93.53, 94.21, 92.98, 93.68, 1704351
08/29/19, 93.29, 93.73, 92.59, 93.03, 2601236
08/28/19, 93.77, 94.04, 91.57, 92.40, 3710069
08/27/19, 94.75, 96.30, 94.06, 94.06, 3773075
08/26/19, 93.77, 94.53, 93.2525, 94.38, 2919459
08/23/19, 94.59, 95.73, 92.615, 92.91, 4213321
08/22/19, 94.44, 94.95, 92.72, 94.62, 2723601
08/21/19, 93.55, 94.98, 92.62, 94.04, 3007232
08/20/19, 90.58, 93.5665, 90.28, 92.70, 4328017
08/19/19, 91.24, 91.70, 90.12, 90.91, 2511990
08/16/19, 88.56, 90.38, 88.07, 89.56, 2843040
08/15/19, 88.95, 88.95, 87.23, 87.88, 2825204
08/14/19, 90.41, 90.75, 87.50, 88.10, 5459040
08/13/19, 91.96, 93.56, 91.25, 92.34, 2424721
08/12/19, 91.50, 92.56, 91.04, 91.77, 1845919
08/09/19, 94.37, 94.87, 91.40, 91.97, 3496674
08/08/19, 92.95, 95.29, 92.475, 95.23, 3849339
08/07/19, 89.12, 92.35, 88.70, 92.27, 4498073
08/06/19, 90.81, 91.56, 89.62, 90.10, 3604547
08/05/19, 90.31, 91.76, 88.22, 88.59, 5117083
08/02/19, 94.75, 95.365, 91.83, 92.89, 2764932
08/01/19, 93.25, 97.07, 93.08, 94.60, 5870434
07/31/19, 94.00, 96.54, 91.04, 92.50, 11152840
07/30/19, 87.93, 89.01, 86.24, 88.57, 5666045
07/29/19, 89.41, 89.79, 86.945, 88.87, 5162894
07/26/19, 89.50, 90.49, 89.28, 89.51, 2281391
07/25/19, 88.45, 89.765, 87.88, 89.16, 2891202
07/24/19, 88.04, 89.94, 88.00, 89.78, 2137376
07/23/19, 88.88, 89.14, 87.71, 88.22, 2428996
07/22/19, 88.02, 89.13, 87.51, 88.14, 3200046
07/19/19, 89.35, 89.4106, 87.47, 87.50, 3676672
07/18/19, 88.90, 89.47, 88.02, 89.19, 4105733
07/17/19, 89.75, 90.85, 89.31, 89.70, 3097441
07/16/19, 92.31, 92.41, 88.43, 89.55, 6090525
07/15/19, 92.75, 93.01, 91.83, 92.22, 2817028
07/12/19, 93.68, 93.97, 92.35, 92.82, 2657567
07/11/19, 93.79, 94.85, 92.57, 93.49, 3320686
07/10/19, 92.16, 94.14, 91.64, 93.96, 4561634
07/09/19, 92.50, 92.70, 90.539, 92.05, 4747034
07/08/19, 93.44, 93.63, 91.4219, 93.44, 4512647
07/05/19, 97.77, 97.83, 91.35, 93.60, 11794150
07/03/19, 103.00, 103.19, 97.59, 98.11, 4659692
07/02/19, 101.76, 103.59, 100.79, 102.72, 3935328
07/01/19, 102.65, 102.88, 99.82, 100.89, 3452380
